TL,TR,sCh,cCh,deaths,region_en,district
2012-06-25,2012-07-01,0.0,,0.0,South,Zoetele Health District
2012-06-25,2012-07-01,0.0,,0.0,West,Bafang Health District
2012-06-25,2012-07-01,0.0,,0.0,West,Baham Health District
2012-06-25,2012-07-01,0.0,,0.0,West,Bamendjou Health District
2012-06-25,2012-07-01,0.0,,0.0,West,Bandja Health District
2012-06-25,2012-07-01,0.0,,0.0,West,Bandjoun Health District
2012-06-25,2012-07-01,0.0,,0.0,West,Bangangte Health District
2012-06-25,2012-07-01,0.0,,0.0,West,Bangourain Health District
2012-06-25,2012-07-01,0.0,,0.0,West,Batcham Health District
2012-06-25,2012-07-01,0.0,,0.0,West,Dschang Health District
2012-06-25,2012-07-01,0.0,,0.0,West,Foumban Health District
2014-06-09,2014-06-15,0.0,,0.0,Littoral,Ndom Health District
2014-06-09,2014-06-15,0.0,,0.0,Littoral,New Bell Health District
2014-06-09,2014-06-15,0.0,,0.0,Littoral,Ngambe Health District
2014-06-09,2014-06-15,0.0,,0.0,Littoral,Nkondjock Health District
2014-06-09,2014-06-15,0.0,,0.0,Littoral,Nkongsamba Health District
2014-06-09,2014-06-15,0.0,,0.0,Littoral,Nylon Health District
2014-06-09,2014-06-15,0.0,,0.0,Littoral,Pouma Health District
2014-06-09,2014-06-15,0.0,,0.0,Littoral,Yabassi Health District
2014-06-09,2014-06-15,0.0,,,Littoral,Abo Health District
2014-06-09,2014-06-15,0.0,,,Littoral,Bangue Health District
2018-08-13,2018-08-19,0.0,,,South-West,Dschang Health District
2018-08-13,2018-08-19,0.0,,,South-West,Ekondo Titi Health District
2018-08-13,2018-08-19,0.0,,,South-West,Kumba Health District
2018-08-13,2018-08-19,0.0,,,South-West,Limbe Health District
2010-10-25,2010-10-31,0.0,,0.0,Littoral,Melong Health District
2010-04-05,2010-04-11,0.0,,0.0,South-West,Fontem Health District
2010-04-05,2010-04-11,0.0,,0.0,South-West,Konye Health District
2010-04-05,2010-04-11,0.0,,0.0,South-West,Kumba Health District
2010-04-05,2010-04-11,0.0,,0.0,South-West,Limbe Health District
2010-04-05,2010-04-11,0.0,,0.0,South-West,Mamfe Health District
2010-04-05,2010-04-11,0.0,,0.0,South-West,Mbonge Health District
2010-04-05,2010-04-11,0.0,,0.0,South-West,Mundemba Health District
2010-04-05,2010-04-11,0.0,,0.0,South-West,Muyuka Health District
2010-04-05,2010-04-11,0.0,,0.0,South-West,Nguti Health District
2010-04-05,2010-04-11,0.0,,0.0,South-West,Tiko Health District
2010-04-05,2010-04-11,0.0,,0.0,South-West,Tombel Health District
2010-11-22,2010-11-28,0.0,,0.0,Far North,Mindif Health District
2011-07-25,2011-07-31,0.0,,0.0,South-West,Nguti Health District
2011-07-25,2011-07-31,0.0,,0.0,South-West,Tombel Health District
2017-11-20,2017-11-26,0.0,,0.0,Adamawa,Tignere Health District
2017-11-13,2017-11-19,0.0,,0.0,South-West,Akwaya Health District
2017-11-13,2017-11-19,0.0,,0.0,South-West,Bakassi Health District
2017-11-13,2017-11-19,0.0,,0.0,South-West,Bangem Health District
2017-11-13,2017-11-19,0.0,,0.0,South-West,Buea Health District
2017-11-13,2017-11-19,0.0,,0.0,South-West,Ekondo Titi Health District
2017-11-13,2017-11-19,0.0,,0.0,South-West,Eyumodjock Health District
2017-11-13,2017-11-19,0.0,,0.0,South-West,Fontem Health District
2010-06-07,2010-06-13,0.0,,0.0,Littoral,Deido Health District
2010-06-07,2010-06-13,0.0,,0.0,Littoral,Dibombari Health District
2010-06-07,2010-06-13,0.0,,0.0,Littoral,Edea Health District
2012-06-25,2012-07-01,0.0,,0.0,North-West,Ako Health District
2012-06-25,2012-07-01,0.0,,0.0,North-West,Bafut Health District
2012-06-25,2012-07-01,0.0,,0.0,North-West,Bali Health District
2012-06-25,2012-07-01,0.0,,0.0,North-West,Bamenda Health District
2012-06-25,2012-07-01,0.0,,0.0,North-West,Batibo Health District
2012-06-25,2012-07-01,0.0,,0.0,North-West,Benakuma Health District
2012-06-25,2012-07-01,0.0,,0.0,North-West,Fundong Health District
2012-06-25,2012-07-01,0.0,,0.0,North-West,Kumbo East Health District
2012-06-25,2012-07-01,0.0,,0.0,North-West,Kumbo West Health District
2012-06-25,2012-07-01,0.0,,0.0,North-West,Mbengwi Health District
2018-12-10,2018-12-16,0.0,,,Adamawa,Meiganga Health District
2018-12-10,2018-12-16,0.0,,,Adamawa,Tibati Health District
2018-11-26,2018-12-02,0.0,,,South-West,Ekondo Titi Health District
2018-11-26,2018-12-02,0.0,,,South-West,Kumba Health District
2018-11-26,2018-12-02,0.0,,,South-West,Limbe Health District
2018-11-26,2018-12-02,0.0,,,South-West,Mamfe Health District
2018-11-26,2018-12-02,0.0,,,South-West,Mundemba Health District
2018-11-26,2018-12-02,0.0,,,South-West,Muyuka Health District
2018-11-26,2018-12-02,0.0,,,South-West,Nguti Health District
2010-07-12,2010-07-18,0.0,,0.0,Littoral,Mbanga Health District
2010-07-12,2010-07-18,0.0,,0.0,Littoral,Melong Health District
2010-07-12,2010-07-18,0.0,,0.0,Littoral,Ndom Health District
2010-07-12,2010-07-18,0.0,,0.0,Littoral,New Bell Health District
2010-07-12,2010-07-18,0.0,,0.0,Littoral,Ngambe Health District
2010-07-12,2010-07-18,0.0,,0.0,Littoral,Nkondjock Health District
2010-07-12,2010-07-18,0.0,,0.0,Littoral,Nkongsamba Health District
2017-04-17,2017-04-23,0.0,,0.0,Far North,Mindif Health District
2014-05-19,2014-05-25,0.0,,0.0,West,Bandjoun Health District
2014-05-19,2014-05-25,0.0,,0.0,West,Bangangte Health District
2014-05-19,2014-05-25,0.0,,0.0,West,Bangourain Health District
2014-05-19,2014-05-25,0.0,,0.0,West,Batcham Health District
2014-05-19,2014-05-25,0.0,,0.0,West,Dschang Health District
2014-05-19,2014-05-25,0.0,,0.0,West,Foumban Health District
2014-05-19,2014-05-25,0.0,,0.0,West,Foumbot Health District
2014-03-03,2014-03-09,0.0,,0.0,Far North,Mindif Health District
2014-03-03,2014-03-09,0.0,,0.0,Far North,Mogode Health District
2014-03-03,2014-03-09,0.0,,0.0,Far North,Mokolo Health District
2014-03-03,2014-03-09,0.0,,0.0,Far North,Mora Health District
2014-03-03,2014-03-09,0.0,,0.0,Far North,Moulvoudaye Health District
2014-03-03,2014-03-09,0.0,,0.0,Far North,Moutourwa Health District
2014-03-03,2014-03-09,0.0,,0.0,Far North,Pette Health District
2014-03-03,2014-03-09,0.0,,0.0,Far North,Roua Health District
2014-03-03,2014-03-09,0.0,,0.0,Far North,Tokombere Health District
2014-03-03,2014-03-09,0.0,,0.0,Far North,Vele Health District
2014-03-03,2014-03-09,0.0,,0.0,Far North,Yagoua Health District
2014-02-03,2014-02-09,0.0,,0.0,South-West,Kumba Health District
2012-06-25,2012-07-01,0.0,,0.0,North,Garoua 2 Health District
2014-02-03,2014-02-09,0.0,,0.0,South-West,Limbe Health District
2014-02-03,2014-02-09,0.0,,0.0,South-West,Mamfe Health District
2012-06-25,2012-07-01,0.0,,0.0,North,Gaschiga Health District
2014-02-03,2014-02-09,0.0,,0.0,South-West,Mbonge Health District
2014-02-03,2014-02-09,0.0,,0.0,South-West,Mundemba Health District
2012-06-25,2012-07-01,0.0,,0.0,North,Golombe Health District
2014-02-03,2014-02-09,0.0,,0.0,South-West,Muyuka Health District
2010-10-25,2010-10-31,0.0,,0.0,Littoral,New Bell Health District
2010-10-25,2010-10-31,0.0,,0.0,Littoral,Ngambe Health District
2010-10-25,2010-10-31,0.0,,0.0,Littoral,Nkondjock Health District
2010-10-25,2010-10-31,0.0,,0.0,Littoral,Nkongsamba Health District
2017-06-05,2017-06-11,0.0,,0.0,North-West,Kumbo East Health District
2017-06-05,2017-06-11,0.0,,0.0,North-West,Kumbo West Health District
2017-06-05,2017-06-11,0.0,,0.0,North-West,Mbengwi Health District
2017-06-05,2017-06-11,0.0,,0.0,North-West,Ndop Health District
2017-06-05,2017-06-11,0.0,,0.0,North-West,Ndu Health District
2017-06-05,2017-06-11,0.0,,0.0,North-West,Njikwa Health District
2017-06-05,2017-06-11,0.0,,0.0,North-West,Nkambe Health District
2017-06-05,2017-06-11,0.0,,0.0,North-West,Nwa Health District
2017-06-05,2017-06-11,0.0,,0.0,North-West,Oku Health District
2011-05-23,2011-05-29,0.0,,0.0,Centre,Saa Health District
2011-04-18,2011-04-24,0.0,,0.0,Centre,Mbandjock Health District
2011-04-18,2011-04-24,0.0,,0.0,Centre,Mbankomo Health District
2011-06-20,2011-06-26,1.0,,0.0,Littoral,Edea Health District
2011-05-23,2011-05-29,0.0,,0.0,Centre,Soa Health District
2011-06-20,2011-06-26,3.0,,0.0,Littoral,New Bell Health District
2011-06-20,2011-06-26,3.0,,0.0,Littoral,Nylon Health District
2011-06-20,2011-06-26,0.0,,0.0,East,Abong Mbang Health District
2011-06-20,2011-06-26,0.0,,0.0,East,Batouri Health District
2011-06-20,2011-06-26,0.0,,0.0,East,Bertoua Health District
2011-06-20,2011-06-26,0.0,,0.0,East,Betare Oya Health District
2011-06-20,2011-06-26,0.0,,0.0,East,Doume Health District
2011-06-20,2011-06-26,0.0,,0.0,East,Garoua Boulai Health District
2011-06-20,2011-06-26,0.0,,0.0,East,Kette Health District
2012-06-25,2012-07-01,0.0,,0.0,North,Touboro Health District
2013-02-18,2013-02-24,0.0,,0.0,Centre,Eseka Health District
2013-02-18,2013-02-24,0.0,,0.0,Centre,Esse Health District
2012-06-25,2012-07-01,1.0,,0.0,North,Tchollire Health District
2013-02-18,2013-02-24,0.0,,0.0,Centre,Evodoula Health District
2013-02-18,2013-02-24,0.0,,0.0,Centre,Mbalmayo Health District
2012-06-25,2012-07-01,0.0,,0.0,Littoral,Bonassama Health District
2012-06-25,2012-07-01,0.0,,0.0,Littoral,Cite des palmiers Health District
2012-06-25,2012-07-01,0.0,,0.0,Littoral,Deido Health District
2012-06-25,2012-07-01,0.0,,0.0,Littoral,Dibombari Health District
2012-06-25,2012-07-01,0.0,,0.0,Littoral,Edea Health District
2012-06-25,2012-07-01,0.0,,0.0,Littoral,Logbaba Health District
2012-06-25,2012-07-01,0.0,,0.0,Littoral,Loum Health District
2012-06-25,2012-07-01,0.0,,0.0,Littoral,Manjo Health District
