Region,month_date,cases,deaths,CFR,rainfall_avg,temperature_avg,humidity_avg,year,month,cases_lag1,cases_lag2,rainfall_lag1,rainfall_lag2,temperature_lag1,temperature_lag2,humidity_lag1,humidity_lag2,risk_level,Region_Adamaoua,Region_Centre,Region_East,Region_Far North,Region_Littoral,Region_North,Region_North-West,Region_South,Region_South-West,Region_West
Adamaoua,2018-12-01,171,2,1.02,0.001785714285714275,20.785,56.25892857142857,2018,12,0.0,0.0,0.8496428571428571,3.8517857142857137,22.46,22.147857142857145,74.79607142857142,84.1875,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2019-01-01,0,0,0.0,0.00607142857142855,21.70535714285714,46.153571428571425,2019,1,171.0,0.0,0.001785714285714275,0.8496428571428571,20.785,22.46,56.25892857142857,74.79607142857142,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2019-02-01,0,0,0.0,0.0692857142857143,22.571428571428573,43.01571428571429,2019,2,0.0,171.0,0.00607142857142855,0.001785714285714275,21.70535714285714,20.785,46.153571428571425,56.25892857142857,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2019-03-01,0,0,0.0,0.20464285714285713,26.07642857142857,51.81892857142858,2019,3,0.0,0.0,0.0692857142857143,0.00607142857142855,22.571428571428573,21.70535714285714,43.01571428571429,46.153571428571425,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2019-05-01,0,0,0.0,6.08,24.51,71.93857142857142,2019,5,0.0,0.0,0.20464285714285713,0.0692857142857143,26.07642857142857,22.571428571428573,51.81892857142858,43.01571428571429,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2019-12-01,0,0,0.0,5.264148351648351,22.60585164835165,71.21881868131868,2019,12,0.0,0.0,6.08,0.20464285714285713,24.51,26.07642857142857,71.93857142857142,51.81892857142858,0,1,0,0,0,0,0,0,0,0,0
Centre,2010-01-01,351,1,0.4545454545454545,1.342857142857143,24.1575,63.85642857142857,2010,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0
Centre,2010-02-01,235,0,0.0,2.415357142857143,25.793214285714285,72.56642857142856,2010,2,351.0,0.0,1.342857142857143,0.0,24.1575,0.0,63.85642857142857,0.0,1,0,1,0,0,0,0,0,0,0,0
Centre,2010-03-01,639,2,0.7708333333333333,4.5964285714285715,24.78607142857143,81.1725,2010,3,235.0,351.0,2.415357142857143,1.342857142857143,25.793214285714285,24.1575,72.56642857142856,63.85642857142857,1,0,1,0,0,0,0,0,0,0,0
Centre,2010-04-01,782,2,1.1383928571428572,5.786071428571429,24.937142857142856,85.37607142857144,2010,4,639.0,235.0,4.5964285714285715,2.415357142857143,24.78607142857143,25.793214285714285,81.1725,72.56642857142856,2,0,1,0,0,0,0,0,0,0,0
Centre,2010-05-01,2205,9,1.3702793685260848,4.702,24.37342857142857,87.66342857142857,2010,5,782.0,639.0,5.786071428571429,4.5964285714285715,24.937142857142856,24.78607142857143,85.37607142857144,81.1725,2,0,1,0,0,0,0,0,0,0,0
Centre,2010-06-01,1378,6,1.2367356207935918,6.367857142857142,23.70321428571428,86.85142857142858,2010,6,2205.0,782.0,4.702,5.786071428571429,24.37342857142857,24.937142857142856,87.66342857142857,85.37607142857144,2,0,1,0,0,0,0,0,0,0,0
Centre,2010-07-01,1419,8,1.5416666666666665,6.25,22.621071428571426,89.27607142857143,2010,7,1378.0,2205.0,6.367857142857142,4.702,23.70321428571428,24.37342857142857,86.85142857142858,87.66342857142857,2,0,1,0,0,0,0,0,0,0,0
Centre,2010-08-01,2132,10,1.2177746838380323,6.246857142857143,22.61085714285714,88.88771428571428,2010,8,1419.0,1378.0,6.25,6.367857142857142,22.621071428571426,23.70321428571428,89.27607142857143,86.85142857142858,2,0,1,0,0,0,0,0,0,0,0
Centre,2010-09-01,1555,8,1.9702842377260983,5.4507142857142865,22.550714285714285,88.63678571428572,2010,9,2132.0,1419.0,6.246857142857143,6.25,22.61085714285714,22.621071428571426,88.88771428571428,89.27607142857143,2,0,1,0,0,0,0,0,0,0,0
Centre,2010-10-01,2771,14,2.173514406756541,6.727908653846153,23.130715430402933,88.05637820512821,2010,10,1555.0,2132.0,5.4507142857142865,6.246857142857143,22.550714285714285,22.61085714285714,88.63678571428572,88.88771428571428,2,0,1,0,0,0,0,0,0,0,0
